wavelength_AA,formatted_ion,formatted_ion_simple,show
5086.187,$\mathrm{[Fe}~\textsc{iii}]$,[Fe III],0
5147.184,$\mathrm{[Fe}~\textsc{vi}]$,[Fe VI],0
5160.327,$\mathrm{[Fe}~\textsc{vii}]$,[Fe VII],0
5170.473,$\mathrm{Fe}~\textsc{ii}$,Fe II,0
5177.482,$\mathrm{[Fe}~\textsc{vi}]$,[Fe VI],0
5199.024,$\mathrm{Fe}~\textsc{ii}$,Fe II,0
5201.705,$\mathrm{[N}~\textsc{i}]$,[N I],0
5236.082,$\mathrm{Fe}~\textsc{ii}$,Fe II,0
5237.518,$\mathrm{[Fe}~\textsc{iv}]$,[Fe IV],0
5271.867,$\mathrm{[Fe}~\textsc{iii}]$,[Fe III],0
5277.47,$\mathrm{Fe}~\textsc{ii}$,Fe II,0
5277.848,$\mathrm{[Fe}~\textsc{vii}]$,[Fe VII],0
5304.335,$\mathrm{[Fe}~\textsc{xiv}]$,[Fe XIV],0
5310.587,$\mathrm{[Ca}~\textsc{v}]$,[Ca V],0
5318.094,$\mathrm{Fe}~\textsc{ii}$,Fe II,0
5318.263,$\mathrm{Fe}~\textsc{ii}$,Fe II,0
5336.664,$\mathrm{[Fe}~\textsc{vi}]$,[Fe VI],0
5425.728,$\mathrm{[Fe}~\textsc{vi}]$,[Fe VI],0
5519.242,$\mathrm{[Cl}~\textsc{iii}]$,[Cl III],0
5539.411,$\mathrm{[Cl}~\textsc{iii}]$,[Cl III],0
5639.165,$\mathrm{[Fe}~\textsc{vi}]$,[Fe VI],0
5678.575,$\mathrm{[Fe}~\textsc{vi}]$,[Fe VI],0
5697.5,$\mathrm{C}~\textsc{iii}$,C III,0
5722.287,$\mathrm{[Fe}~\textsc{vii}]$,[Fe VII],0
5756.186,$\mathrm{[N}~\textsc{ii}]$,[N II],0
5802.939,$\mathrm{C}~\textsc{iv}$,C IV,0
5813.592,$\mathrm{C}~\textsc{iv}$,C IV,0
5877.253,$\mathrm{He}~\textsc{i}$,He I,0
6048.114,$\mathrm{O}~\textsc{i}$,O I,0
6088.685,$\mathrm{[Fe}~\textsc{vii}]$,[Fe VII],0
6302.046,$\mathrm{[O}~\textsc{i}]$,[O I],1
6313.806,$\mathrm{[S}~\textsc{iii}]$,[S III],0
6348.855,$\mathrm{Si}~\textsc{ii}$,Si II,0
6365.536,$\mathrm{[O}~\textsc{i}]$,[O I],1
6371.223,$\mathrm{Fe}~\textsc{ii}$,Fe II,0
6376.272,$\mathrm{[Fe}~\textsc{x}]$,[Fe X],0
6517.881,$\mathrm{Fe}~\textsc{ii}$,Fe II,0
6549.859,$\mathrm{[N}~\textsc{ii}]$,[N II],1
6564.632,H$\alpha$,H$\alpha$,1
6585.279,$\mathrm{[N}~\textsc{ii}]$,[N II],1
6718.294,$\mathrm{[S}~\textsc{ii}]$,[S II],1
6732.668,$\mathrm{[S}~\textsc{ii}]$,[S II],1
7004.161,$\mathrm{O}~\textsc{i}$,O I,0
7007.802,$\mathrm{[Ar}~\textsc{v}]$,[Ar V],0
7067.144,$\mathrm{He}~\textsc{i}$,He I,0
7137.757,$\mathrm{[Ar}~\textsc{iii}]$,[Ar III],0
7157.129,$\mathrm{[Fe}~\textsc{ii}]$,[Fe II],0
7172.597,$\mathrm{[Ar}~\textsc{iv}]$,[Ar IV],0
7173.977,$\mathrm{[Fe}~\textsc{ii}]$,[Fe II],0
7238.414,$\mathrm{C}~\textsc{ii}$,C II,0
7239.255,$\mathrm{[Ar}~\textsc{iv}]$,[Ar IV],0
7256.447,$\mathrm{O}~\textsc{i}$,O I,0
7264.761,$\mathrm{[Ar}~\textsc{iv}]$,[Ar IV],0
7283.355,$\mathrm{He}~\textsc{i}$,He I,0
7322.007,$\mathrm{[O}~\textsc{ii}]$,[O II],0
7332.75,$\mathrm{[O}~\textsc{ii}]$,[O II],0
7379.862,$\mathrm{[Ni}~\textsc{ii}]$,[Ni II],0
7413.201,$\mathrm{[Ni}~\textsc{ii}]$,[Ni II],0
7454.591,$\mathrm{[Fe}~\textsc{ii}]$,[Fe II],0
7470.367,$\mathrm{N}~\textsc{i}$,N I,0
7613.095,$\mathrm{[S}~\textsc{xii}]$,[S XII],0
7753.193,$\mathrm{[Ar}~\textsc{iii}]$,[Ar III],0
7818.287,$\mathrm{He}~\textsc{i}$,He I,0
